DEALER DEAL;PLAYER DEAL;DEALER CALL FLOP;PLAYER CALL FLOP;DEALER BET TURN;PLAYER BET TURN;DEALER BET RIVER;PLAYER BET RIVER;WINNER;COUNT;PERCENT
HIGH_CARD;HIGH_CARD;ONE_PAIR;FLUSH;ONE_PAIR;FLUSH;TWO_PAIR;HIGH_CARD;Player;1;0.001%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;FULL_HOUSE;TWO_PAIR;Player;9;0.009%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;TWO_PAIR;Player;2;0.002%
HIGH_CARD;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;64;0.064%
HIGH_CARD;HIGH_CARD;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;10;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;FLUSH;Player;2;0.002%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;FLUSH;Player;5;0.005%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;FLUSH;Player;1;0.001%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;Player;156;0.156%
HIGH_CARD;HIGH_CARD;TWO_PAIR;HIGH_CARD;TWO_PAIR;FLUSH;TWO_PAIR;ONE_PAIR;Player;1;0.001%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;FLUSH;Player;1;0.001%
ONE_PAIR;HIGH_CARD;FULL_HOUSE;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;Player;1;0.001%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;FLUSH;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;1;0.001%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;3333;3.333%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;ONE_PAIR;HIGH_CARD;Player;9;0.009%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;ONE_PAIR;Player;7;0.007%
ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;3;0.003%
ONE_PAIR;HIGH_CARD;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;1;0.001%
HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;FLUSH;TWO_PAIR;FLUSH;TWO_PAIR;Player;6;0.006%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;FLUSH;STRAIGHT_FLUSH;Player;1;0.001%
HIGH_CARD;HIGH_CARD;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;FULL_HOUSE;FULL_HOUSE;Player;2;0.002%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;FLUSH;FULL_HOUSE;FLUSH;Player;2;0.002%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;15;0.015%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;Player;100;0.1%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;FLUSH;Player;7;0.007%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;Player;77;0.077%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;435;0.435%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;STRAIGHT;STRAIGHT;Player;2;0.002%
ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;FLUSH;ONE_PAIR;Player;1;0.001%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;14;0.014%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;Player;4;0.004%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;STRAIGHT;THREE_OF_A_KIND;STRAIGHT;Player;2;0.002%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;FLUSH;FLUSH;Player;1;0.001%
HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;17;0.017%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;THREE_OF_A_KIND;STRAIGHT;Player;3;0.003%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;FLUSH;Player;1;0.001%
HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;3;0.003%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;FLUSH;HIGH_CARD;FLUSH;STRAIGHT;Player;2;0.002%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;HIGH_CARD;Player;429;0.429%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;FLUSH;FLUSH;Player;43;0.043%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;TWO_PAIR;HIGH_CARD;Player;2;0.002%
HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;ONE_PAIR;STRAIGHT;TWO_PAIR;ONE_PAIR;Player;1;0.001%
ONE_PAIR;HIGH_CARD;TWO_PAIR;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;Player;1;0.001%
HIGH_CARD;ONE_PAIR;ONE_PAIR;FULL_HOUSE;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;Player;1;0.001%
